comment_num,retweet_num,like_num,Trend,polarity,subjectivity
0,0,0,1,-0.1,0.8
1,1,1,1,-0.033,0.622
0,0,0,1,0.0,0.0
1,1,1,1,0.143,0.571
1,1,1,1,0.0,0.0
0,0,0,1,0.3,0.95
"","","",1,0.052,0.452
0,0,0,1,0.0,0.0
0,0,0,1,-0.1,0.8
0,0,0,1,0.165,0.432
0,0,0,1,0.5,0.5
1,1,1,1,-0.126,0.644
0,0,0,1,0.5,0.9
1,1,1,1,0.098,0.383
0,0,0,1,-0.125,0.081
0,0,0,1,0.314,0.673
0,0,0,1,0.0,0.3
0,0,0,1,-0.033,0.5
8,8,8,1,0.0,0.708
0,0,0,1,0.35,0.8
2,2,2,1,0.075,0.825
1,1,1,1,0.125,0.6
4,4,4,1,0.925,0.65
2,2,2,1,0.02,0.3
0,0,0,1,0.05,0.55
2,2,2,1,0.047,0.45
1,1,1,1,-0.093,0.133
1,1,1,1,-0.15,0.4
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,0.4,0.9
0,0,0,1,0.1,0.4
0,0,0,1,0.0,0.0
0,0,0,1,0.7,0.6
0,0,0,1,0.0,0.1
0,0,0,1,0.0,0.0
0,0,0,1,0.136,0.455
0,0,0,1,0.0,0.0
3,3,3,1,0.071,0.37
0,0,0,1,0.3,0.5
1,1,1,1,-0.118,0.308
1,1,1,1,0.2,0.3
1,1,1,1,0.267,0.667
1,1,1,1,0.083,0.45
0,0,0,1,0.0,0.0
0,0,0,1,0.2,0.4
0,0,0,1,-0.2,0.1
0,0,0,1,0.0,0.0
0,0,0,1,0.2,0.5
0,0,0,1,0.12,0.565
0,0,0,1,0.071,0.351
0,0,0,1,0.0,0.067
1,1,1,1,0.15,0.483
0,0,0,1,-0.1,0.1
0,0,0,1,0.8,0.7
0,0,0,1,0.05,0.5
0,0,0,1,0.042,0.502
0,0,0,1,0.0,0.4
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.5,0.5
0,0,0,1,0.456,0.561
2,2,2,1,0.2,0.95
2,2,2,1,-0.075,0.594
0,0,0,1,-0.25,1.0
1,1,1,1,0.083,0.713
0,0,0,1,0.0,0.0
0,0,0,1,0.575,0.75
0,0,0,1,0.0,0.0
0,0,0,1,0.375,0.75
1,1,1,1,0.0,0.0
1,1,1,1,0.275,0.433
0,0,0,1,0.225,0.75
0,0,0,1,0.136,0.455
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.975,1.0
1,1,1,1,0.0,0.3
0,0,0,1,-0.058,0.575
2,2,2,1,0.053,0.43
2,2,2,1,0.15,0.7
0,0,0,1,0.0,0.0
0,0,0,1,0.08,0.474
5,5,5,1,0.0,0.75
0,0,0,1,0.002,0.466
0,0,0,1,-0.038,0.745
0,0,0,1,0.253,0.813
0,0,0,1,0.017,0.517
0,0,0,1,0.0,0.0
0,0,0,1,0.2,1.0
0,0,0,1,0.311,0.411
0,0,0,1,0.4,0.8
0,0,0,1,-0.021,0.639
1,1,1,1,0.2,0.5
1,1,1,1,0.65,0.675
0,0,0,1,0.0,0.0
3,3,3,1,0.0,0.0
1,1,1,1,0.25,0.25
0,0,0,1,0.4,0.75
2,2,2,1,0.0,0.0
1,1,1,1,0.129,0.651
0,0,0,1,0.0,0.0
2,2,2,1,-0.178,0.85
0,0,0,1,0.5,0.5
0,0,0,1,0.0,0.525
0,0,0,1,0.0,0.0
1,1,1,1,0.0,0.0
0,0,0,1,0.047,0.8
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.333
0,0,0,1,0.1,0.133
1,1,1,1,0.084,0.353
0,0,0,1,0.0,0.1
0,0,0,1,0.0,0.0
0,0,0,1,0.333,0.875
2,2,2,1,-0.192,0.533
3,3,3,1,0.0,0.0
0,0,0,1,0.318,0.482
1,1,1,1,-0.35,1.0
3,3,3,1,0.137,0.632
"","","",1,0.0,0.0
0,0,0,1,-0.15,0.35
0,0,0,1,0.45,0.55
1,1,1,1,-0.078,0.144
0,0,0,1,-0.15,0.575
0,0,0,1,-0.391,0.4
1,1,1,1,0.143,0.768
0,0,0,1,0.094,0.374
0,0,0,1,0.4,0.8
2,2,2,1,0.643,0.768
2,2,2,1,0.425,0.575
0,0,0,1,0.2,0.2
0,0,0,1,-0.4,0.4
0,0,0,1,0.54,0.564
0,0,0,1,0.0,0.0
0,0,0,1,0.0,0.0
0,0,0,1,-0.05,0.2
1,1,1,1,0.0,0.0
