comment_num,retweet_num,like_num,Trend,polarity,subjectivity
0,0,0,0,0.0,0.0
1,1,1,0,0.66,1.0
1,1,1,0,-0.117,0.333
0,0,0,0,-0.065,0.511
0,0,0,0,0.0,0.0
1,1,1,0,0.25,0.6
0,0,0,0,0.4,0.558
1,1,1,0,-0.4,0.4
0,0,0,0,0.0,0.5
0,0,0,0,0.15,0.567
0,0,0,0,0.133,0.7
2,2,2,0,-0.2,0.3
0,0,0,0,0.286,0.536
0,0,0,0,0.136,0.455
"","","",0,0.0,0.4
1,1,1,0,0.4,0.375
0,0,0,0,-0.156,0.289
0,0,0,0,0.0,0.0
3,3,3,0,0.1,0.617
0,0,0,0,0.0,0.0
1,1,1,0,-0.15,0.367
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,0.1,0.2
0,0,0,0,0.016,0.487
3,3,3,0,0.104,0.415
0,0,0,0,0.05,0.85
1,1,1,0,0.1,0.15
1,1,1,0,0.0,0.0
1,1,1,0,0.0,0.0
0,0,0,0,0.18,0.3
0,0,0,0,-0.75,1.0
1,1,1,0,0.15,0.65
8,8,8,0,0.0,0.0
0,0,0,0,-0.4,0.55
0,0,0,0,0.0,0.0
0,0,0,0,0.075,0.8
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.15,0.6
0,0,0,0,-0.167,0.5
0,0,0,0,-0.125,0.9
1,1,1,0,0.0,0.067
2,2,2,0,0.5,0.5
0,0,0,0,0.152,0.317
3,3,3,0,0.8,0.75
0,0,0,0,-0.5,0.875
0,0,0,0,-0.131,0.169
9,9,9,0,0.145,0.588
0,0,0,0,0.3,0.475
0,0,0,0,0.133,0.7
0,0,0,0,0.0,0.3
0,0,0,0,0.3,0.55
0,0,0,0,0.0,0.0
1,1,1,0,0.19,0.27
0,0,0,0,0.25,0.312
0,0,0,0,-0.203,0.589
"","","",0,0.0,0.0
1,1,1,0,0.015,0.195
0,0,0,0,0.0,0.0
3,3,3,0,0.0,0.0
0,0,0,0,0.5,0.5
0,0,0,0,0.21,0.5
0,0,0,0,0.0,0.0
1,1,1,0,0.6,0.925
3,3,3,0,-0.087,0.481
0,0,0,0,0.0,0.067
0,0,0,0,0.0,0.3
0,0,0,0,0.1,0.8
1,1,1,0,0.2,0.3
1,1,1,0,0.0,0.0
1,1,1,0,-0.12,0.326
0,0,0,0,0.4,0.85
0,0,0,0,0.236,0.547
0,0,0,0,0.2,0.2
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.75
5,5,5,0,0.5,0.5
0,0,0,0,0.225,0.7
0,0,0,0,0.1,0.2
3,3,3,0,0.0,0.0
1,1,1,0,0.306,0.462
0,0,0,0,0.0,0.3
0,0,0,0,0.5,0.5
"","","",0,-0.3,0.4
0,0,0,0,0.167,0.333
0,0,0,0,0.5,0.6
0,0,0,0,0.0,0.0
0,0,0,0,0.5,0.5
0,0,0,0,0.118,0.427
2,2,2,0,0.053,0.18
0,0,0,0,-0.25,0.75
1,1,1,0,0.0,0.0
0,0,0,0,0.0,0.0
1,1,1,0,-0.1,0.1
1,1,1,0,0.0,1.0
1,1,1,0,0.0,1.0
0,0,0,0,0.25,0.283
1,1,1,0,0.2,0.6
3,3,3,0,-0.19,0.6
3,3,3,0,-0.217,0.65
0,0,0,0,0.268,0.693
2,2,2,0,0.0,0.0
5,5,5,0,0.0,0.0
0,0,0,0,0.0,0.062
0,0,0,0,0.0,0.0
0,0,0,0,0.0,0.0
0,0,0,0,0.35,0.55
0,0,0,0,0.2,0.2
0,0,0,0,0.149,0.638
