id,retweet_count,favorite_count,author_followers_count,author_listed_count,author_statuses_count,author_friends_count,author_favourites_count,hashtag_indices,text
0,1,0,232,16,33754,400,44449,"[[18, 28]]",RT @hardnieuwsnl: #Amsterdam Drie mannen aangehouden voor Tesla-diefstallen Postjesweg Amsterdam https://t.co/WE8L8jfXY4
1,2,0,55,0,2029,380,1214,[],RT @alcotex6688: 全球央行纷纷撤离美元. . 国际货币基金组织上周公布的各国央行外汇持有量数据显示，美元在全球储备中的份额降至1995年以来的最低水平。截至2020年12月，该货币在全球储备中的份额为59%，比前一季度下降了1.5个百分点。.  https://t.c…
2,0,0,2071,1,9738,2048,15014,[],"@BlaqBonez We buy dead/condemned inverter batteries,we do pick up nationwide,for more Info:08107105177 pls retweet🙏… https://t.co/mNK6vBSeJw"
3,0,1,3866,0,10394,4301,24698,[],"Actress, Rachael Okonkwo surprises 200 widows and children with mouth-watering gifts (Video) . . Read Here:… https://t.co/cjL9LMWDhS"
4,0,0,301,10,45790,2348,31236,[],@AP_Politics What about the driver? Do cars drive themselves? Was it a tesla gone rogue or was there a human behind… https://t.co/Ng0KmETPsi
5,0,0,1622,1,59981,298,15023,[],Mfs with Tesla just don't believe in tint?
6,0,1,547,0,686,756,1844,[],"Actress, Rachael Okonkwo surprises 200 widows and children with mouth-watering gifts (Video) . . Read Here:… https://t.co/gFjEK4gePX"
7,1,0,21,0,2704,192,61530,[],"RT @thebaynetcom: Cheltenham Man Charged, $2.2 Million &amp; Tesla Model 3 Seized After Fraudulently Obtaining PPP Loans https://t.co/ZXGdUrekk…"
8,0,0,120,0,6850,190,4522,[],@annetteoderso Wir brauchen elektromobilität und spaceX ist genial. Außerdem lebt er kaum im Wohlstand sondern inve… https://t.co/YvBku2aMbl
9,1,0,345,5,10747,350,2558,"[[12, 32], [44, 56], [70, 77], [111, 126]]",RT @ikimij: #WednesdayMotivation fajr|Tesla|#GoogleErica|Channel Bado|#PORCHE STARGIRL ERICA|Frannels|Shoprite|#worldhealthDay https://t.co…
10,0,0,234,0,23541,258,442,[],@BrazCubasNeto @direitasiqueira Se colocar eu e o cara da tesla numa sala você terá a maior renda percapta do mundo… https://t.co/noLJYzIWKz
11,0,0,265,0,6423,231,36168,[],Agr só falta uma música boa ✔️ https://t.co/IJhQSkPtVn
