id,truncated,favorite_count,retweet_count,author_followers_count,author_listed_count,author_lang,author_statuses_count,author_friends_count,author_favourites_count,author_location,hashtag_indices,hashtags,lang,created_at,place,text,sentiment_polarity,sentiment_subjectivity,emoji
0,True,0,0,1274,15,,18270,2548,19233,b'',[],[],en,2021-04-09 10:32:37,,b'@rocket_jenross @darwoodster @GordonJohnson19 @mickakers @ShortingIsFun @Tesla @boringcompany I mean. Its the most\xe2\x80\xa6 https://t.co/pSC7OyoQgn',-0.3125,0.6875,
1,False,0,0,32,1,,6605,40,1047,b'',[],[],en,2021-04-09 10:32:38,,b'@c_tomstone @Quicktake @PaulDereume @Tesla @AkshatRathi Bollocks',0.0,0.0,
2,False,0,0,13900,207,,11755,5057,29420,"b'London, England'",[],[],en,2021-04-09 10:32:42,,b'A great read.\nCan battery recycling ever be sustainable and profitable?\nhttps://t.co/miGKdb2y6P',0.8,0.75,
3,False,0,0,3,0,,129,9,59,b'',[],[],es,2021-04-09 10:32:47,,b'@oplion1914 @DUPleader Tesla bus',0.0,0.0,
4,False,0,0,88,8,,5252,604,9008,b'Germany',[],[],de,2021-04-09 10:32:48,,b'.@Elektro_Robin Nichts neues aber gut zusammengefasst: https://t.co/eZK19LRq68',0.0,0.0,
5,False,0,0,190,0,,1217,201,2905,b'',[],[],tr,2021-04-09 10:32:51,,b'aynen tesla performans\xc4\xb1 kardesim https://t.co/aCcTHAimmv https://t.co/QhQg45VtUr',0.0,0.0,
6,False,15,0,38,0,,1988,74,1658,b'',[],[],fr,2021-04-09 10:32:54,,"b""RT @DufourLouis12: Une oeuvre d'art""",0.0,0.0,
7,False,27,0,161,1,,6313,78,7897,b'Online',[],[],en,2021-04-09 10:32:55,,b'RT @Model3Owners: Tesla has updated the Model 3 configurator for North American cars with the new door trim design \n@elonmusk https://t.co/\xe2\x80\xa6',0.06818181818181818,0.22727272727272727,
8,False,13,0,317,1,,1969,742,4374,"b'Nairobi, Kenya'",[],[],en,2021-04-09 10:32:57,,"b'RT @Reuters: Tesla has its sights set on India, but the country has negligible charging infrastructure and high taxes on imported cars, as\xe2\x80\xa6'",0.16,0.5399999999999999,
9,False,0,0,93,0,,1715,574,983,b'Myanmar',[],[],en,2021-04-09 10:33:02,,b'@vanesssaababy @elonmusk @Tesla @POTUS @JoeBiden @USEmbassyBurma May I know Who is the person? The one who works at Tesla ?',0.0,0.0,
10,True,0,1,427390,1300,,92018,480,501,b'Paris',[],[],fr,2021-04-09 10:33:02,,b'Le Tesla CyberTruck n\xe2\x80\x99est pas encore sorti mais les pr\xc3\xa9parateurs fourmillent d\xc3\xa9j\xc3\xa0 d\xe2\x80\x99id\xc3\xa9es comme @cyberlandr et sa c\xe2\x80\xa6 https://t.co/v55wGuXnLN',0.0,0.0,
11,False,5978,0,61,4,,3848,81,8811,b'Belgium',[],[],en,2021-04-09 10:33:04,,b'RT @elonmusk: Thanks Tesla suppliers for providing us with critical parts!',0.1,0.5,
12,False,230,0,153,1,,11495,152,3477,b'root@chaos:~#',[],[],tr,2021-04-09 10:33:05,,b'RT @KutadguBilim: \xf0\x9f\x9a\x97Tesla arac\xc4\xb1n\xc4\xb1n s\xc3\xbcr\xc3\xbcc\xc3\xbcs\xc3\xbcz modda viraj performans\xc4\xb1. https://t.co/zFFSKcKdN8',0.0,0.0,
13,True,0,0,351,1,,22411,932,6370,b'',[],[],pl,2021-04-09 10:33:13,,"b'@edwinbendyk @hetmanski_m    TRICKY ALLIANCES? EKOLODZY I ""roszczeniowy wobec rz\xc4\x85du ""MUSK   ""Tesla buduje w Gruenhe\xe2\x80\xa6 https://t.co/8KKRUIXW1v'",0.0,0.0,
14,False,0,0,43,2,,1798,130,1671,b'',[],[],es,2021-04-09 10:33:14,,"b'@CodingMark Tesla, poor\xf0\x9f\x98\x82'",0.0,0.0,
15,False,8,0,57,1,,2107,85,1685,b'',"[92, 99, 110, 127]","['artph', 'honkaitwt', 'HonkaiImpact3rd', 'watercolor']",in,2021-04-09 10:33:18,,"b'RT @sinitypng: \xe2\xad\x90Dr. Tesla, Honkai Impact\xe2\xad\x90\n-\n-\nDrew my favorite stigmata from honkai impact\xf0\x9f\x92\x96\n#artph #honkaitwt #HonkaiImpact3rd #watercolor\xe2\x80\xa6'",0.5,1.0,
16,True,0,0,622,27,,2165,207,199,"b'40.704933,14.705891'",[96],['elonmusk'],en,2021-04-09 10:33:25,,"b'Twitter Elon Musk Challenge 4/365\nHi @elonmusk, just reaching you for a comment on this concept #elonmusk @Tesla\xe2\x80\xa6 https://t.co/XjkBYqpbU5'",0.0,0.0,
17,False,0,0,565,3,,10824,264,22886,"b'Paris, France \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 '",[],[],fr,2021-04-09 10:33:29,,b'@01net \xc3\xa0 une TESLA',0.0,0.0,
18,False,69,0,4,1,,282,23,394,b'',[],[],en,2021-04-09 10:33:33,,"b""RT @investor_2: Stanphyl said in 2014 Tesla's plans to sell 500k cars in 2020 are absurd \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 $TSLAQ $TSLA""",-0.5,1.0,
19,True,0,0,2272,9,,1157,296,0,b'',"[0, 34, 39, 44, 49, 54, 60, 65, 73, 78, 83, 95, 103, 109]","['BNB', 'btc', 'eth', 'xrp', 'ada', 'doge', 'chz', 'chiliz', 'bnb', 'eos', 'kriptopara', 'Crypto', 'holo', 'hot']",tr,2021-04-09 10:33:33,,"b""#BNB'de y\xc3\xbckseli\xc5\x9f devam ediyor...\n\n#btc #eth #xrp #ada #doge #chz #chiliz #bnb #eos #kriptopara #Crypto #holo #hot\xe2\x80\xa6 https://t.co/FxTd9Z1sIX""",0.0,0.0,
20,False,1,0,106,0,,876,330,3379,"b'Mars, Your bedroom'",[],[],en,2021-04-09 10:33:36,,"b'RT @WholeMarsBlog: Tesla Powerhub\n\nAdvanced real-time monitoring and control platform for managing storage, generation and microgrids https\xe2\x80\xa6'",0.4,0.6,
