id,truncated,favorite_count,retweet_count,author_followers_count,author_listed_count,author_lang,author_statuses_count,author_friends_count,author_favourites_count,author_location,hashtag_indices,hashtags,lang,created_at,place,text,sentiment_polarity,sentiment_subjectivity
0,False,0,6,2614,61,,10004,138,9717,La Ou Il Faut Etre,[],[],ca,2021-04-12 19:18:38,,@Nostradaubus Les warrants tesla.,0.0,0.0
1,False,10841,0,19,0,,572,52,952,In my pants,[],[],en,2021-04-12 19:18:42,,RT @Hbomberguy: Think trains  only slower  you need to own a car to use it  and it cost 700 billion dollars,0.3,1.0
2,True,0,0,2,0,,14,11,28,"San Antonio, TX",[],[],en,2021-04-12 19:18:43,,Day 2 of trading. Tesla doing great while $AAPL fell off a little. Hoping for a good day tomorrow as well… https://t.co/Fd8RxuBdy0,0.438,0.617
3,False,1,0,589,2,,11648,378,10603,Pangaea ,"[69, 76]","['Tesla', 'Cybertruck']",en,2021-04-12 19:18:44,,RT @dogecoin4tesla: Currently  1 $DOGE = $0.071003.. . At this rate  a #Tesla #Cybertruck costs:. • Single Motor RWD: 561 945 Ɖ. • Dual Motor A…,-0.036,0.307
4,False,0,0,5,0,,331,50,127,,[],[],en,2021-04-12 19:18:45,,Cant make this stuff up 😂😂😂 Hummer actually paid for a @Tesla ad 🤷‍♂️. Go $TSLA 🚀🚀🚀 https://t.co/wZSxmX6niG,0.0,0.1
5,False,0,0,105,0,,89,191,125,The Chadtherlands,[],[],fr,2021-04-12 19:18:51,,@binance @Tesla $GME $AMC,0.0,0.0
6,False,14,0,1,0,,13,27,54,,[],[],en,2021-04-12 19:18:51,,RT @Jae_butterflyy: @elonmusk Huge supporter of Tesla and everything your team is doing for the future! Would love to see you on “The Come…,0.3,0.542
7,False,0,0,228,1,,7609,1409,5736,"Madrid, Estonia",[],[],es,2021-04-12 19:18:54,,@DoctaIgn @alexizag Ahora resulta que Tesla baila al son de Pedo Chánchez...,0.0,0.0
8,True,0,0,6,0,,11,22,14,,[],[],tr,2021-04-12 19:18:55,,FTX ve Bittrex’in ardından Binance borsası da tokenlaştırılmış hisse senedi işlemlerini bugün Türkiye saati 16:35 i… https://t.co/VU0f9SgnjH,0.0,0.0
9,False,11,0,328,2,,92149,202,99213,Piruletalandia,[],[],es,2021-04-12 19:18:55,,RT @LADERECHISTA: El único multimillonario que dice abiertamente en público que somos víctimas a nivel global de un plan criminal para some…,-0.2,0.275
10,False,0,1,35,1,,421,268,5424,,[],[],en,2021-04-12 19:18:57,,@gailalfa1 @elonmusk @Tesla 💯  I can’t wait either!,0.0,0.0
11,False,271,0,257,2,,3432,933,3361,"Tampa Bay, Florida, USA",[],[],en,2021-04-12 19:18:57,,RT @NeerajKA: TIME is holding bitcoin https://t.co/DqN9DnWyVU,0.0,0.0
12,False,12,0,15,0,,13745,69,4,,[],[],en,2021-04-12 19:18:58,,RT @grist: Nickel-mining communities ask Tesla to boycott one of Russia's worst polluters. https://t.co/uFstCZoIKn,-1.0,1.0
13,True,0,0,1349,83,,99357,2410,17581,"SF Bay Area, California",[],[],en,2021-04-12 19:19:00,,Microsoft Buys Nuance; Apple Working on TV Box With HomePod Speaker &amp; FaceTime Cam; Tesla Jacks Up Solar Roof Price… https://t.co/AsvncraFtB,0.0,0.0
14,False,271,0,812,15,,14706,1677,53053,I like strawberry’s,[],[],en,2021-04-12 19:19:00,,RT @NeerajKA: TIME is holding bitcoin https://t.co/DqN9DnWyVU,0.0,0.0
15,False,271,0,84,1,,8097,142,9307,ATL,[],[],en,2021-04-12 19:19:00,,RT @NeerajKA: TIME is holding bitcoin https://t.co/DqN9DnWyVU,0.0,0.0
16,False,0,0,85,0,,348,213,49,Wormer,"[43, 60]","['tesla', 'peuk']",nl,2021-04-12 19:19:01,,Het toppunt van groen denken  rijden in je #tesla en dan je #peuk de straat op schieten,0.0,0.0
17,False,0,0,1388,31,,8204,188,2170,"Mountain View, CA.",[],[],en,2021-04-12 19:19:01,,Advance footage over Tesla’s electric logging truck. At right  Vancouver project manager. https://t.co/kiZXsJg3PG,0.286,0.536
18,False,4987,0,82,2,,1358,53,3608,"Florida, USA",[50],['Binance'],en,2021-04-12 19:19:04,,RT @binance: Introducing tradable stock tokens on #Binance! . . Trade digital tokens that represent fully backed shares of equity stock.. . Fir…,0.0,0.0
19,False,0,21,2484,2,,6929,542,4786,twitch.tv/nobufps,[],[],pt,2021-04-12 19:19:06,,Qual é o carro dos sonhos de vcs? . Me: Tesla model X,0.0,0.0
20,False,23,0,141,1,,11541,321,29746,,[],[],en,2021-04-12 19:19:06,,"RT @jpr007: Tesla unveils standalone inverter  ""completing"" home solar product line-up | RenewEconomy https://t.co/q8duTsswzd",0.0,0.0
21,False,1462,0,261,3,,3983,974,17582,Nairobi,[13],['Binance'],en,2021-04-12 19:19:07,,RT @binance: #Binance just listed the @Tesla $TSLA stock token.. . Which stock token should we list next? ⬇️,0.0,0.0
22,False,0,0,43,0,,654,110,2927,"California, USA",[],[],en,2021-04-12 19:19:07,,@Gevo_Inc Please see Tesla marketing and do something like that ♥️♥️♥️,0.0,0.0
23,False,23,0,19,0,,783,58,447,Germany,[],[],es,2021-04-12 19:19:09,,RT @Alzado36: Captura de pantalla de un twitt del famoso CEO de Tesla Elon Musk.. . En unos minutos el tuit fue eliminado por él mismo. . . ¿Sa…,0.0,0.0
24,False,0,1,2193,10,,100902,1124,46823,Boston/LDN/Owerri,[],[],en,2021-04-12 19:19:09,,I gotta get the McLaren and Tesla now,0.0,0.0
25,False,0,0,2,0,,14,11,28,"San Antonio, TX",[],[],tr,2021-04-12 19:19:09,,@StockMKTNewz Tesla,0.0,0.0
26,False,694,0,3058,66,,802453,1803,77591,"Lagos, Nigeria.",[],[],en,2021-04-12 19:19:10,,RT @cz_binance: Trade stock tokens like $TSLA on @Binance  with zero-commission.,0.0,0.0
27,False,14,0,15,0,,13745,69,4,,[],[],en,2021-04-12 19:19:10,,"RT @passthebeano: Elon Musk: ""It's like I have a money-printer on your roof!"". . $TSLA $TSLAQ https://t.co/mGCWtU1uXv",0.0,0.0
28,False,4987,0,160,2,,4029,101,4427,"Tokyo, Japan",[50],['Binance'],en,2021-04-12 19:19:10,,RT @binance: Introducing tradable stock tokens on #Binance! . . Trade digital tokens that represent fully backed shares of equity stock.. . Fir…,0.0,0.0
29,False,271,0,73,2,,4067,995,703,"Boston, MA",[],[],en,2021-04-12 19:19:12,,RT @NeerajKA: TIME is holding bitcoin https://t.co/DqN9DnWyVU,0.0,0.0
30,False,5,0,15,0,,13745,69,4,,[],[],und,2021-04-12 19:19:13,,RT @TESLAcharts: Huh https://t.co/gtKf2H0Dwl,0.0,0.0
31,False,0,0,132,13,,14770,138,5146,,"[19, 64, 72]","['TeslaSolarRoof', 'GoGen3', 'GoGreen']",en,2021-04-12 19:19:14,,So exciting to see #TeslaSolarRoof in the wild being installed. #GoGen3 #GoGreen @Tesla https://t.co/7RDC5G0QY3,0.2,0.6
32,False,0,1,21,1,,509,36,83,"Miami Beach, FL",[],[],en,2021-04-12 19:19:14,,Tesla $1.5B Bitcoin Purchase Was Facilitated By Soon-To-Go-Public Coinbase: Report. . $TSLA $COIN $BTC,0.0,0.0
33,False,4987,0,3058,66,,802453,1803,77591,"Lagos, Nigeria.",[50],['Binance'],en,2021-04-12 19:19:16,,RT @binance: Introducing tradable stock tokens on #Binance! . . Trade digital tokens that represent fully backed shares of equity stock.. . Fir…,0.0,0.0
